iter	RMSE
0	29.82821814
1	28.90621124
2	28.14691696
3	27.28981502
4	26.94974071
5	26.72099379
6	26.40166202
7	25.8483028
8	25.59416438
9	25.41544544
10	25.29854917
11	25.04332537
12	24.8522247
13	24.62716482
14	24.43558784
15	24.21995061
16	23.93012276
17	23.77203626
18	23.66905098
19	23.31568111
20	23.15957776
21	22.97570356
22	22.80970709
23	22.68097414
24	22.61032456
25	22.52237567
26	22.32538493
27	22.17545054
28	22.00622695
29	21.89002692
30	21.68264675
31	21.60974974
32	21.47308939
33	21.31668424
34	21.18415054
35	20.99645776
36	20.95891293
37	20.92092477
38	20.79755445
39	20.79068285
40	20.75911196
41	20.64225968
42	20.59140065
43	20.5558432
44	20.4442991
45	20.35486192
46	20.22865121
47	20.15544665
48	20.1134556
49	20.04622587
50	19.983292
51	19.91110687
52	19.8928902
53	19.8312271
54	19.78943453
55	19.70909261
56	19.67938117
57	19.66040015
58	19.61290885
59	19.56864552
60	19.56635123
61	19.53327756
62	19.49634471
63	19.40990478
64	19.35758642
65	19.3403884
66	19.29030755
67	19.26606822
68	19.24882954
69	19.19637168
70	19.17192826
71	19.14512491
72	19.09186129
73	19.07111558
74	19.03359676
75	18.9792044
76	18.9301101
77	18.89028578
78	18.8712653
79	18.84846903
80	18.84246524
81	18.83136894
82	18.78948148
83	18.73592252
84	18.71769412
85	18.69937351
86	18.65990497
87	18.65410401
88	18.60483398
89	18.59326825
90	18.54638339
91	18.45752359
92	18.45582388
93	18.4337783
94	18.42354688
95	18.39212245
96	18.38188851
97	18.37396625
98	18.2901544
99	18.28919111
