iter	Passed	Remaining
0	1	109
1	1	69
2	1	54
3	1	45
4	2	40
5	2	38
6	2	34
7	2	32
8	3	30
9	3	28
10	3	28
11	3	27
12	4	27
13	4	26
14	4	25
15	5	26
16	5	25
17	5	24
18	5	24
19	5	23
20	6	23
21	6	24
22	7	23
23	7	23
24	7	22
25	7	22
26	8	22
27	8	21
28	8	21
29	8	20
30	9	20
31	9	19
32	9	19
33	9	19
34	10	18
35	10	18
36	10	17
37	10	17
38	10	16
39	11	16
40	11	16
41	11	16
42	11	15
43	12	15
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	13
53	15	13
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	17	11
60	17	11
61	18	11
62	18	10
63	19	10
64	19	10
65	19	10
66	20	10
67	20	9
68	21	9
69	21	9
70	21	8
71	22	8
72	22	8
73	23	8
74	24	8
75	24	7
76	24	7
77	24	7
78	25	6
79	25	6
80	26	6
81	26	5
82	26	5
83	27	5
84	27	4
85	27	4
86	28	4
87	28	3
88	29	3
89	29	3
90	29	2
91	30	2
92	30	2
93	30	1
94	30	1
95	31	1
96	31	0
97	31	0
98	31	0
99	32	0
