number,Diamine 1,Molar Ratio3,Diamine 2,Molar Ratio4
1,4,1,,
2,5,0.05,4,0.95
3,5,0.1,4,0.9
4,5,0.15,4,0.85
5,5,0.2,4,0.8
6,13,1,,
7,13,0.99,30,0.01
8,13,0.975,30,0.025
9,13,0.95,30,0.05
10,13,0.925,30,0.075
11,13,0.9,30,0.1
12,39,1,,
13,39,1,,
14,39,1,,
15,39,1,,
16,39,1,,
17,4,2,,
18,2,2,,
19,3,2,,
20,1,2,,
21,1,1,,
22,4,1,,
23,4,0.5,26,0.5
24,4,0.4,26,0.6
25,4,0.3,26,0.7
26,4,0.2,26,0.8
27,26,1,,
28,38,1,,
29,38,1,,
30,38,1,,
31,6,1,,
32,6,1,,
33,6,1,,
34,7,1,,
35,7,1,,
36,7,1,,
37,7,0.5,,
38,7,0.5,,
39,7,0.5,,
40,14,1,,
41,14,1,,
42,14,1,,
43,14,1,,
44,8,1,,
45,8,1,,
46,8,1,,
47,9,1,,
48,9,0.7,4,0.3
49,9,0.5,4,0.5
50,9,0.3,4,0.7
51,,,4,1
52,10,1,,
53,10,1,,
54,10,1,,
55,10,1,,
56,10,1,,
57,11,1,,
58,11,1,,
59,11,1,,
60,11,1,,
61,11,1,,
62,12,1,,
63,12,1,,
64,12,1,,
65,13,0.2,4,0.8
66,13,0.5,4,0.5
67,13,0.8,4,0.2
68,13,1,,
69,16,1,,
70,18,1,,
71,17,1,,
72,40,1,,
73,58,1,,
74,58,1,,
75,58,1,,
76,58,1,,
77,58,1,,
78,4,1,,
79,14,1,,
80,14,0.5,4,0.5
81,4,0.93,94,0.07
82,14,0.93,94,0.07
83,14,0.5,4,0.5
84,14,0.8,4,0.2
85,14,0.9,4,0.1
86,14,0.8,4,0.2
87,22,1,,
88,22,1,,
89,22,1,,
90,22,1,,
91,22,1,,
92,46,1,,
93,46,1,,
94,4,0.5,47,0.5
95,35,0.5,47,0.5
96,4,0.5,47,0.5
97,35,0.5,47,0.5
98,4,0.5,47,0.5
99,35,0.5,47,0.5
100,48,1,,
101,48,1,,
102,48,1,,
103,48,1,,
104,48,1,,
105,49,1,,
106,49,1,,
107,49,1,,
108,49,1,,
109,49,1,,
110,49,1,,
111,50,1,,
112,51,1,,
113,4,1,,
114,20,1,,
115,19,1,,
116,55,1,,
117,52,1,,
118,56,1,,
119,56,1,,
120,56,1,,
121,56,1,,
122,56,1,,
123,57,1,,
124,57,1,,
125,57,1,,
126,57,0.5,,
127,57,0.5,,
128,57,0.5,,
129,4,1,,
130,4,0.9,31,0.1
131,4,0.7,31,0.3
132,4,0.5,31,0.5
133,4,0.3,31,0.7
134,4,0.1,31,0.9
135,58,1,,
136,58,1,,
137,58,1,,
138,58,1,,
139,58,1,,
140,59,1,,
141,60,1,,
142,61,1,,
143,62,1,,
144,32,1,4,3
145,32,1,4,4
146,4,1,,
147,33,1,4,1
148,33,0.7,4,0.3
149,33,0.5,4,0.5
150,33,0.3,4,0.7
151,33,0,4,1
152,63,1,,
153,92,1,,
154,64,1,,
155,93,1,,
156,65,1,,
157,65,1,,
158,65,1,,
159,35,1,,
160,35,1,,
161,35,1,,
162,67,1,,
163,66,1,,
164,67,1,,
165,67,1,,
166,66,1,,
167,67,1,,
168,67,1,,
169,67,1,,
170,67,1,,
171,67,1,,
172,66,1,,
173,68,1,,
174,68,1,,
175,68,1,,
176,68,1,,
177,68,1,,
178,69,1,,
179,69,1,,
180,69,1,,
181,73,1,,
182,73,1,,
183,73,1,,
184,73,1,,
185,73,1,,
186,70,1,,
187,70,1,,
188,71,1,,
189,71,1,,
190,72,1,,
191,72,1,,
192,50,1,,
193,74,1,,
194,52,1,,
195,55,1,,
196,75,1,,
197,4,1,,
198,54,1,,
199,76,1,,
200,76,1,,
201,76,1,,
202,76,1,,
203,76,1,,
204,54,1,,
205,85,1,,
206,86,1,,
207,87,1,,
208,88,1,,
209,77,1,,
210,77,1,,
211,77,1,,
212,77,1,,
213,77,1,,
214,77,1,,
215,77,1,,
216,18,1,,
217,18,1,,
218,18,1,,
219,18,1,,
220,18,1,,
221,78,1,,
222,78,1,,
223,78,1,,
224,78,1,,
225,78,1,,
226,31,1,,
227,31,1,,
228,31,1,,
229,4,1,,
230,4,1,,
231,80,1,,
232,79,3,80,7
233,79,5,80,5
234,79,7,80,3
235,79,1,,
236,4,20,81,0
237,4,17,81,1.875
238,4,14,81,3.75
239,4,11,81,5.625
240,4,8,81,7.5
241,4,5,81,9.375
242,4,2,81,11.25
243,4,0,81,12.5
244,84,1,,
245,84,1,,
246,82,1,,
247,82,1,,
248,83,1,,
249,83,1,,
250,89,1,,
251,89,1,,
252,89,1,,
253,89,1,,
254,89,1,,
255,19,1,,
256,20,1,,
257,4,1,,
258,54,1,,
259,43,1,,
260,44,1,,
261,45,1,,
262,23,0,4,1
263,23,0.05,4,0.95
264,23,0.1,4,0.9
265,23,0.2,4,0.8
266,23,0.3,4,0.7
267,23,0.5,4,0.5
268,23,1,4,0
269,23,1,4,0.8
270,23,1,4,0
271,23,0.2,4,0.8
272,23,1,4,0
273,23,0.2,4,0.8
