Thickness (?m),Thickness-插值法,Thickness-中位数
40,40,40
40,40,40
40,40,40
40,40,40
40,40,40
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
20,20,20
22,22,22
24,24,24
20,20,20
25,25,25
45,45,45
45,45,45
45,45,45
45,45,45
45,45,45
25,25,25
25,25,25
25,25,25
25,25,25
25,25,25
25,25,25
35,35,35
35,35,35
35,35,35
N/A,66.25,40
N/A,97.5,40
N/A,128.75,40
160,160,160
160,160,160
160,160,160
160,160,160
160,160,160
160,160,160
200,200,200
200,200,200
200,200,200
200,200,200
70,70,70
70,70,70
70,70,70
57.5,57.5,57.5
85.9,85.9,85.9
65.5,65.5,65.5
62.9,62.9,62.9
35.8,35.8,35.8
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
600,600,600
600,600,600
600,600,600
600,600,600
N/A,460.625,40
N/A,321.25,40
N/A,181.875,40
42.5,42.5,42.5
27.5,27.5,27.5
27.5,27.5,27.5
27.5,27.5,27.5
27.5,27.5,27.5
27.5,27.5,27.5
N/A,33.57142857,40
N/A,39.64285714,40
N/A,45.71428571,40
N/A,51.78571429,40
N/A,57.85714286,40
N/A,63.92857143,40
70,70,70
70,70,70
70,70,70
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
N/A,48.3,40
N/A,46.6,40
N/A,44.9,40
N/A,43.2,40
N/A,41.5,40
N/A,39.8,40
N/A,38.1,40
N/A,36.4,40
N/A,34.7,40
N/A,33,40
N/A,31.3,40
N/A,29.6,40
N/A,27.9,40
N/A,26.2,40
N/A,24.5,40
N/A,22.8,40
N/A,21.1,40
20,20,20
21,21,21
20,20,20
19,19,19
20,20,20
20,20,20
20,20,20
55,55,55
62,62,62
58,58,58
65,65,65
70,70,70
150,150,150
150,150,150
150,150,150
150,150,150
150,150,150
150,150,150
18,18,18
18,18,18
18,18,18
18,18,18
18,18,18
18,18,18
N/A,20.2,40
N/A,22.4,40
N/A,24.6,40
N/A,26.8,40
N/A,29,40
N/A,31.2,40
N/A,33.4,40
N/A,35.6,40
N/A,37.8,40
40,40,40
40,40,40
40,40,40
N/A,36.66666667,40
N/A,33.33333333,40
N/A,30,40
N/A,26.66666667,40
N/A,23.33333333,40
20,20,20
20,20,20
20,20,20
20,20,20
25,25,25
25,25,25
25,25,25
25,25,25
25,25,25
25,25,25
37.5,37.5,37.5
37.5,37.5,37.5
37.5,37.5,37.5
37.5,37.5,37.5
37.5,37.5,37.5
37.5,37.5,37.5
37.5,37.5,37.5
37.5,37.5,37.5
37.5,37.5,37.5
37.5,37.5,37.5
37.5,37.5,37.5
35,35,35
35,35,35
35,35,35
35,35,35
35,35,35
35,35,35
35,35,35
35,35,35
34,34,34
39,39,39
38,38,38
38,38,38
33,33,33
N/A,30.57142857,40
N/A,28.14285714,40
N/A,25.71428571,40
N/A,23.28571429,40
N/A,20.85714286,40
N/A,18.42857143,40
16,16,16
18,18,18
24,24,24
22,22,22
20,20,20
19,19,19
23,23,23
29.5,29.5,29.5
29.5,29.5,29.5
29.5,29.5,29.5
29.5,29.5,29.5
29.5,29.5,29.5
29.5,29.5,29.5
15,15,15
15,15,15
15,15,15
15,15,15
N/A,20.625,40
N/A,26.25,40
N/A,31.875,40
N/A,37.5,40
N/A,43.125,40
N/A,48.75,40
N/A,54.375,40
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
60,60,60
12.5,12.5,12.5
12.5,12.5,12.5
12.5,12.5,12.5
12.5,12.5,12.5
12.5,12.5,12.5
29,29,29
30,30,30
30,30,30
29,29,29
31,31,31
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
40,40,40
40,40,40
40,40,40
40,40,40
40,40,40
40,40,40
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
30,30,30
30,30,30
30,30,30
30,30,30
74,74,74
81,81,81
34,34,34
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
50,50,50
