iter	Passed	Remaining
0	0	952
1	1	817
2	2	775
3	3	799
4	3	788
5	4	737
6	5	739
7	5	737
8	6	727
9	7	719
10	7	707
11	8	698
12	9	688
13	9	684
14	10	676
15	10	671
16	11	663
17	12	662
18	12	659
19	13	652
20	13	647
21	14	641
22	14	635
23	15	630
24	16	624
25	16	609
26	16	604
27	17	599
28	17	594
29	17	581
30	18	577
31	18	574
32	19	572
33	20	569
34	20	566
35	21	563
36	21	557
37	21	554
38	22	551
39	22	542
40	23	538
41	23	535
42	23	533
43	24	530
44	24	527
45	25	524
46	25	522
47	26	519
48	26	516
49	27	514
50	27	511
51	27	510
52	28	504
53	28	502
54	29	499
55	29	497
56	29	495
57	30	493
58	30	490
59	31	488
60	31	486
61	32	484
62	32	482
63	32	480
64	33	479
65	33	477
66	34	475
67	34	474
68	35	472
69	35	470
70	35	468
71	36	465
72	36	464
73	36	462
74	37	460
75	37	459
76	38	457
77	38	456
78	39	455
79	39	453
80	39	452
81	40	450
82	40	449
83	41	448
84	41	447
85	41	445
86	42	444
87	42	443
88	43	442
89	43	440
90	43	439
91	44	438
92	44	435
93	45	433
94	45	432
95	45	431
96	46	430
97	46	429
98	47	428
99	47	427
100	47	424
101	47	422
102	48	421
103	48	420
104	49	419
105	49	418
106	50	417
107	50	416
108	51	417
109	51	416
110	51	415
111	52	414
112	52	414
113	53	413
114	53	412
115	54	411
116	54	410
117	54	409
118	55	408
119	55	408
120	56	407
121	56	406
122	56	405
123	57	404
124	57	404
125	58	403
126	58	402
127	58	401
128	59	401
129	59	400
130	60	399
131	60	399
132	61	398
133	61	397
134	61	396
135	62	395
136	62	394
137	63	393
138	63	393
139	63	392
140	64	391
141	64	391
142	65	390
143	65	389
144	65	388
145	66	389
146	67	389
147	67	388
148	67	387
149	68	387
150	68	386
151	69	385
152	69	384
153	69	384
154	70	383
155	70	382
156	71	382
157	71	381
158	72	380
159	72	380
160	72	379
161	73	378
162	73	377
163	74	377
164	74	376
165	74	376
166	75	375
167	75	374
168	76	374
169	76	373
170	76	372
171	77	372
172	77	371
173	78	370
174	78	370
175	78	369
176	79	368
177	79	368
178	80	367
179	80	366
180	80	365
181	81	365
182	81	364
183	82	363
184	82	363
185	82	362
186	83	362
187	83	361
188	84	361
189	84	360
190	84	359
191	85	359
192	85	358
193	86	357
194	86	357
195	86	356
196	87	356
197	87	355
198	88	354
199	88	354
200	89	353
201	89	353
202	89	352
203	90	351
204	90	351
205	91	350
206	91	350
207	91	349
208	92	349
209	92	348
210	93	348
211	93	347
212	93	347
213	94	346
214	94	346
215	95	345
216	95	344
217	95	344
218	96	343
219	96	343
220	97	342
221	97	342
222	98	341
223	98	340
224	98	340
225	99	340
226	99	339
227	100	338
228	100	338
229	100	337
230	101	337
231	101	336
232	102	336
233	102	335
234	103	335
235	103	334
236	103	334
237	104	333
238	104	333
239	105	332
240	105	332
241	105	331
242	106	331
243	106	330
244	107	330
245	107	329
246	107	329
247	108	328
248	108	327
249	109	327
250	109	327
251	109	326
252	110	325
253	110	325
254	111	324
255	111	324
256	112	323
257	112	323
258	112	322
259	113	322
260	113	321
261	114	321
262	114	320
263	114	320
264	115	319
265	115	319
266	116	318
267	116	318
268	116	317
269	117	317
270	117	316
271	118	316
272	118	315
273	118	315
274	119	314
275	119	314
276	120	313
277	120	313
278	120	312
279	121	312
280	121	311
281	122	311
282	122	310
283	123	310
284	123	309
285	123	308
286	124	308
287	124	307
288	124	307
289	125	306
290	125	306
291	126	305
292	126	305
293	126	304
294	127	304
295	127	303
296	128	303
297	128	302
298	128	302
299	129	301
300	129	301
301	130	300
302	130	300
303	130	299
304	131	299
305	131	299
306	132	298
307	132	298
308	133	297
309	133	297
310	133	296
311	134	296
312	134	295
313	135	295
314	135	294
315	135	294
316	136	293
317	136	293
318	137	292
319	137	292
320	138	291
321	138	291
322	138	290
323	139	290
324	139	289
325	140	289
326	140	289
327	140	288
328	141	288
329	141	287
330	142	287
331	142	286
332	142	286
333	143	285
