Dataset,n_features,CV_RMSE,CV_R2,Test_RMSE,Test_R2
1,20,21.400464639463845,0.7591952870634229,20.761217162205405,0.6692113178030141
1,19,21.764589096612585,0.7569211716109439,22.08443257777933,0.6257019969340578
1,18,21.890157545265556,0.751107838464842,21.42448535324427,0.6477379839998907
1,17,22.300271505781843,0.7495235970087362,21.788140204605043,0.6356780464288768
1,16,22.57920383866232,0.7454999582814847,23.1985363213558,0.586984653933119
1,15,22.118199177760122,0.7504533563394545,22.146491424935906,0.6235954325598553
1,14,22.450009175007605,0.7422463687635434,22.99486483244572,0.5942049531854836
1,13,22.553826892891117,0.740674328959744,23.371015067287665,0.5808203696429373
1,12,23.07824194073013,0.7303590042434316,22.99697090924969,0.5941306170518208
1,11,22.400617148953923,0.7437929503245412,22.761884092010494,0.6023862132924274
1,10,21.996133676402643,0.7523535543634073,23.457228801442994,0.5777220276948489
1,9,22.037561293022396,0.7538794470214678,22.947997384207845,0.5958574261998189
1,8,22.02415957095419,0.7540510657434119,23.48212612829459,0.5768251466257337
1,7,22.45355282126973,0.7419601599752376,24.206657597850253,0.5503085049950082
1,6,22.958710637366735,0.7266394155436078,23.74425051640006,0.5673248519630836
1,5,23.05860173980677,0.7160208723443298,21.155109907917648,0.6565404540072275
2,20,22.68691035003919,0.7280509749733216,22.61169395468262,0.7805029909003306
2,19,22.54016603511613,0.7275564922641202,22.669103131451934,0.7793870073532174
2,18,21.83248829673368,0.7446118277546244,22.798381814386108,0.7768635831745327
2,17,22.130813771670944,0.7359437840326922,22.981977237023493,0.7732552764046907
2,16,21.902606522946645,0.7451684729665676,23.24618104960842,0.76801193566399
2,15,21.937217059508708,0.7440403833450355,23.178307777873243,0.7693646569504128
2,14,21.622096396180204,0.7531993616504921,22.391079458947562,0.784765209632102
2,13,21.659640048546883,0.7511747528525665,22.825145776172434,0.7763393775551224
2,12,21.838093401539805,0.7421829310750881,22.96679154525155,0.7735548274702542
2,11,22.061791265589836,0.7365460090361768,22.623310290439953,0.7802774079869915
2,10,22.11080822202519,0.7384925565093522,22.10072071526315,0.7903111768232736
2,9,21.924728452146073,0.7434587868257532,22.00912008181201,0.7920457649794471
2,8,21.643121518017118,0.751651584445645,22.139928172406886,0.7895665261713519
2,7,22.259256560570353,0.7374130706900028,22.534348023746364,0.7820020527835627
2,6,23.117999194911587,0.7150686978157305,22.98453404532876,0.7732048216474281
2,5,22.65452222856397,0.7179021570872764,24.123380346049814,0.7501733652253024
3,20,22.260260153797322,0.7292703266717203,24.43165651143031,0.8069656873707564
3,19,22.26358000223417,0.7269837339769523,23.818075598662208,0.8165397316814225
3,18,22.480295878373887,0.7167966442061656,23.964784468318506,0.8142727020444941
3,17,22.912149955094257,0.7065563730576623,23.881462274705502,0.8155619523893045
3,16,22.970635210812855,0.7045900461665184,23.755233523775395,0.8175065448626156
3,15,22.78469761759095,0.707208859905643,23.42412134417728,0.8225584575931943
3,14,22.43189936106166,0.7227778428934963,23.11054255567887,0.8272774789738514
3,13,22.380554671092398,0.7252528011942423,22.845216227896664,0.8312206804984648
3,12,23.103422645160663,0.7025842819675521,23.03937678782464,0.8283395920888188
3,11,23.371747059517105,0.6983919667794282,23.140840523086663,0.8268243029716543
3,10,22.958126282741716,0.7086389229574468,22.556376046145267,0.8354615741262669
3,9,22.855572481908524,0.7126263285871972,22.71386230637034,0.8331559732062602
3,8,23.014432531075734,0.706649253209703,23.056473337888207,0.8280847336626754
3,7,23.971654610870182,0.6811606609416042,23.253633382398856,0.8251320061212453
3,6,24.778383717892293,0.6635164928492004,23.404448456737576,0.8228563831000105
3,5,24.522281160676524,0.6549195660885464,23.397413826001483,0.8229628545393602
4,20,20.58797521937484,0.760521684602615,22.50004368781401,0.6890236190008721
4,19,21.046277684954294,0.7417503295009505,22.42510278267998,0.6910917074944607
4,18,21.149252565293402,0.7426492369642543,22.18088653383087,0.6977832834910916
4,17,20.672805876904015,0.7512950023266065,22.732945700507692,0.6825523535537137
4,16,20.518788118689184,0.7457504327555818,22.97393689962142,0.6757861748074248
4,15,21.082989586856627,0.7326998252119685,24.50737100702329,0.6310613678622439
4,14,21.749210478086543,0.7345459963107384,24.144664218089886,0.641901070772696
4,13,22.108499249615143,0.7260300174559547,23.470979284950918,0.6616056504337379
4,12,22.001112858229874,0.7307796273177984,24.149534958646342,0.6417565764949671
4,11,21.822177907138894,0.7319277324222376,23.03636251383365,0.6740218498969517
4,10,22.847148201251095,0.7059759866359341,23.71546809584535,0.6545190662326994
4,9,22.890805636865732,0.7063363269027632,22.916864153831067,0.6773950230785625
4,8,22.70123667654357,0.7112761498889943,23.773552863715974,0.6528246653981331
