Dataset,n_features,CV_RMSE,CV_R2,Test_RMSE,Test_R2
1,20,26.86092443,0.667296738,21.43485145,0.647397022
1,19,26.39910597,0.659302445,22.16318808,0.623027662
1,18,27.2038638,0.662410471,22.00066169,0.628536193
1,17,27.22970032,0.666936983,22.76431396,0.602301317
1,16,27.24019649,0.662162231,22.89732636,0.597640214
1,15,26.76220343,0.675732394,22.43198952,0.613828156
1,14,26.90880901,0.664096473,21.77685528,0.636055342
1,13,27.21617882,0.673259372,22.3700679,0.615957203
1,12,26.88010801,0.67640963,21.84074836,0.633916589
1,11,27.45185097,0.654012986,23.43802727,0.578413078
1,10,24.57860589,0.729853937,23.4394072,0.578363434
1,9,25.1730288,0.70275344,23.59001426,0.572927678
1,8,24.39428313,0.720151724,24.78169103,0.528689738
1,7,24.81741941,0.705005981,26.69207612,0.453223641
1,6,25.8670734,0.669192925,26.56688597,0.458340552
1,5,26.14949104,0.645764002,23.71209925,0.5684958
2,20,22.25259392,0.780848977,28.20851832,0.65839599
2,19,22.54163124,0.77105919,28.02125346,0.662916475
2,18,22.62678533,0.760292008,26.85794488,0.690323703
2,17,22.07668548,0.770794069,25.34193682,0.724296667
2,16,22.59293766,0.772326543,28.72516191,0.645768335
2,15,22.49217354,0.771533579,27.1428647,0.683718512
2,14,22.59942655,0.757845627,26.15915921,0.70622829
2,13,22.76792351,0.771502956,25.60003592,0.718652177
2,12,22.37778081,0.770442034,26.18328784,0.705686103
2,11,23.18593182,0.743438361,27.55196725,0.67411255
2,10,23.59569322,0.73905371,26.70945497,0.693738461
2,9,23.78909101,0.750066921,25.24160174,0.726475502
2,8,24.12109977,0.72526498,26.10945593,0.707343581
2,7,24.12866439,0.738490744,24.06049033,0.751474271
2,6,23.96593357,0.73095832,24.62719104,0.739629266
2,5,25.08676788,0.717775921,24.6284506,0.739602632
3,20,26.62089058,0.649045897,24.75176542,0.801874194
3,19,27.0451117,0.654336958,22.91100229,0.830247233
3,18,26.33836574,0.674066246,23.06967777,0.827887766
3,17,26.70244435,0.6493299,23.64280694,0.819229834
3,16,26.7409254,0.657580307,23.38806529,0.823104298
