Dataset,n_features,CV_RMSE,CV_R2,Test_RMSE,Test_R2
3,20,34.30626963,0.417756222,54.15511153,0.051564951
3,19,34.32515876,0.416442942,54.18122334,0.050650122
16,20,37.35437071,0.413469934,38.89882594,0.230930976
3,18,34.43442818,0.412049543,54.45759032,0.040940556
16,19,37.52405142,0.409133105,39.00141037,0.226869233
16,18,37.59314351,0.407107326,39.00823943,0.226598462
16,17,37.71128029,0.403478315,39.27599233,0.215944753
16,16,37.81545328,0.399994522,39.22171744,0.218110204
3,17,34.93829524,0.399022961,54.29971017,0.046493389
17,19,38.04402826,0.397261208,29.62568844,0.230535801
17,18,38.10926356,0.395725138,29.82180539,0.220314641
17,20,38.07411417,0.395187005,29.6211972,0.230769085
7,20,36.03618801,0.394541024,51.31479354,0.177407675
2,20,35.64439394,0.393494054,44.47971198,0.150650683
7,19,36.06658296,0.393357942,51.1864884,0.181516076
7,18,36.07097628,0.393225516,51.18702466,0.181498926
16,14,38.19101215,0.391467656,39.00646209,0.226668937
17,17,38.24605027,0.391307604,29.86236189,0.218192516
2,19,35.90468907,0.391178936,44.89254525,0.134811242
16,15,38.1563848,0.391081735,38.56330161,0.244141066
3,16,35.1984416,0.390228781,54.2928084,0.046735765
1,20,37.16420557,0.390120485,30.42332804,0.289672776
1,19,37.24254324,0.389363802,30.13001381,0.303303416
1,18,37.38980998,0.386514782,30.5589278,0.283326668
17,16,38.68428636,0.379723578,29.43965738,0.240168983
3,15,35.53015959,0.378520886,54.2928084,0.046735765
2,17,36.28113384,0.377447813,45.22445845,0.121970395
2,18,36.30244125,0.376824531,45.1475182,0.124955433
1,17,37.81211027,0.376242108,30.05847238,0.306607994
2,16,36.48054698,0.373827924,45.31777781,0.118343079
8,19,36.07472328,0.371495999,45.1676795,0.177961022
3,14,35.80136601,0.369364831,54.53162866,0.038330986
16,13,38.91641068,0.369061182,38.78161916,0.235558587
7,17,36.96798513,0.368601329,51.67179244,0.165922251
8,20,36.06323255,0.368487529,44.85899991,0.189158392
8,18,36.23349788,0.367376119,45.25333302,0.174840327
7,16,37.04476182,0.366043083,51.70516515,0.164844509
7,15,37.07234472,0.364596711,51.81308518,0.161354566
18,20,35.74062163,0.362615675,50.20970593,0.274377652
2,15,36.79915544,0.361485538,45.6541628,0.105205768
7,14,37.19442139,0.36031935,51.97641462,0.156058939
3,13,36.1074175,0.358767957,54.53162866,0.038330986
17,15,39.44820809,0.355787614,29.05108056,0.260094771
3,12,36.20408266,0.355764599,54.53165323,0.038330119
13,20,37.22912972,0.355466291,37.45299334,0.265963776
2,14,37.01267058,0.354678092,45.97186392,0.092708934
18,19,35.90680078,0.354452516,50.25073041,0.27319141
7,13,37.41672563,0.353373158,52.08009802,0.152688566
13,19,37.30060288,0.352258982,37.42490693,0.267064287
14,20,34.87533808,0.35045982,56.27808658,0.275887533
17,13,39.6277233,0.350160635,29.04667402,0.260319215
18,18,35.98755373,0.350053706,50.22613266,0.273902782
3,11,36.34811669,0.349705818,54.5602454,0.037321405
17,14,39.63910177,0.349591061,29.0942378,0.257894785
2,13,37.14305438,0.349496159,45.97186392,0.092708934
13,18,37.45483059,0.348979856,37.46959933,0.265312714
14,19,34.99761806,0.345737278,56.25457615,0.276492409
7,12,37.67035901,0.344209845,52.28748476,0.145927018
17,12,39.82443099,0.342937993,29.16494896,0.254283149
18,17,36.19943373,0.342791596,51.02458729,0.250633464
16,12,39.73269156,0.341106356,39.15570641,0.220739865
17,11,39.91507313,0.339974748,30.06349031,0.207625821
2,12,37.42280707,0.33949768,45.86128838,0.097068276
13,17,37.72235431,0.338189356,37.65675268,0.257955146
10,20,37.4835859,0.337954873,36.95314469,0.493925861
16,11,39.85345283,0.337642762,39.40901145,0.210624916
8,17,37.04069009,0.337303757,45.0034267,0.18392886
12,20,36.93323,0.337276909,43.18968289,0.302511084
18,15,36.35971523,0.337219036,50.91870283,0.253740356
8,15,37.04014593,0.337201801,45.16151658,0.178185334
8,16,37.05510612,0.337034034,45.04641969,0.182368886
1,16,39.13718034,0.337010261,30.33796093,0.293653504
3,10,36.70265202,0.336671931,54.85595554,0.026857915
2,11,37.50750447,0.336633903,45.82424822,0.098526205
10,19,37.54969782,0.335461326,36.95993564,0.493739839
18,16,36.39436912,0.334962087,51.10766923,0.248191131
7,11,37.98499338,0.334738744,52.54983344,0.137335018
13,16,37.8194484,0.334683442,37.95236626,0.246258994
9,19,37.25268298,0.334216058,35.87230764,0.507657247
18,14,36.4606618,0.3336061,50.91874381,0.253739154
12,19,37.03934947,0.333394633,43.29314408,0.299165402
14,18,35.30801439,0.333353489,57.00941657,0.256945666
14,17,35.31058502,0.33330452,56.99301388,0.257373187
9,18,37.27651581,0.33329817,35.96860697,0.505010307
7,10,38.09653588,0.331823143,52.94532929,0.124301131
16,10,40.05000152,0.331701198,39.45170234,0.208913765
9,17,37.40942596,0.330779858,37.16470801,0.471542131
8,14,37.23459956,0.330259827,45.40603196,0.169262236
9,20,37.31156953,0.330188019,35.24851228,0.524631388
10,18,37.75241896,0.329264355,38.01193312,0.464510138
7,9,38.18759969,0.328351942,52.94532929,0.124301131
1,15,39.37746567,0.328005789,30.53193387,0.284592241
2,10,37.73457682,0.3270638,45.72642198,0.102371053
14,16,35.47848047,0.327006923,57.03211778,0.256353779
15,20,38.1353697,0.326512068,40.72413121,0.266555026
10,17,37.85076051,0.326290868,38.20612637,0.4590248
18,13,36.71530324,0.32452267,51.08421806,0.24888092
20,18,37.95675741,0.323397407,28.64527933,0.409967223
15,19,38.21244648,0.323266452,40.8368874,0.262487907
8,13,37.44481357,0.323162451,45.40603196,0.169262236
1,14,39.60236724,0.321752722,30.95034875,0.264849743
7,8,38.38019553,0.321655844,52.97300417,0.123385425
10,16,37.95504667,0.3212176,38.50865388,0.450423675
20,20,38.04474044,0.320940228,29.18374445,0.387576225
2,9,37.91253245,0.32088093,45.84777312,0.097600384
1,13,39.63898564,0.320168448,30.95034875,0.264849743
20,19,38.05880936,0.320153443,29.22418275,0.385877846
17,10,40.41632538,0.319905423,31.08119887,0.153070931
4,16,39.82355352,0.319880469,30.4115541,0.431882836
16,9,40.45494918,0.319056037,38.94319988,0.229175341
20,17,38.14899233,0.318331416,28.1674613,0.429487155
15,18,38.34885741,0.318076037,40.93442627,0.258960606
18,12,36.88185856,0.317684371,51.1864456,0.245871697
20,16,38.24389979,0.317620897,28.17418595,0.429214716
4,19,39.77774643,0.31676859,29.86956862,0.451952017
14,15,35.74146213,0.316512911,57.13139207,0.253762635
20,15,38.30566243,0.315535115,28.56591737,0.413232075
7,7,38.54904046,0.315430354,53.07559864,0.119986603
8,12,37.59938166,0.315344982,45.58068894,0.162858981
2,8,38.04761037,0.315336087,45.84773389,0.097601928
4,18,39.81712186,0.314894625,30.08240659,0.444113872
4,15,39.96137994,0.314383001,30.36232471,0.433720652
13,15,38.67805147,0.314308308,38.11096778,0.23994612
19,18,38.14596248,0.314293435,33.7278064,0.501484575
4,17,39.8405748,0.314204216,30.14012569,0.441978669
19,17,38.18081501,0.313905204,33.66494081,0.503341219
17,9,40.65448092,0.312811414,30.35236781,0.192324948
20,14,38.38069887,0.312013063,28.72194613,0.406804646
19,19,38.08839289,0.311692838,32.45677869,0.538349578
15,17,38.53048005,0.311394173,41.38339762,0.242615927
18,11,37.06498206,0.310991076,51.12913801,0.247559374
