Dataset,n_features,CV_RMSE,CV_R2,Test_RMSE,Test_R2
7,14,21.01236243,0.769223996,24.5197594,0.812184301
7,19,21.19782149,0.766394701,21.53584276,0.855115067
7,12,20.95689161,0.766279663,24.2593461,0.816152528
7,20,21.33524381,0.764846723,21.73589557,0.852410807
7,13,21.01230309,0.764598418,24.25727006,0.816183993
7,11,21.17285639,0.760832588,23.76243918,0.82360693
7,10,21.44474581,0.755484737,23.90032817,0.821553839
7,15,21.81321206,0.745632097,23.89762314,0.821594229
7,18,22.24196549,0.738806645,22.87238005,0.836573606
17,15,23.63930859,0.738033238,18.08009841,0.713415238
17,19,23.97621482,0.736733981,17.27013657,0.738517241
17,13,23.71805434,0.736234263,17.94800349,0.717587571
17,14,23.68515587,0.736097092,18.2473334,0.708089088
16,20,24.63137733,0.735046778,16.00345321,0.869827352
17,18,23.77612925,0.732285564,17.95182079,0.717467428
2,20,22.31086185,0.731355903,22.27157766,0.787056507
2,19,22.37875011,0.730866525,22.54623118,0.781772076
16,18,24.70668553,0.730743396,14.28659487,0.896259153
17,17,23.86190701,0.730708841,17.99508916,0.716103838
17,16,23.87408288,0.730124628,17.96668655,0.716999308
16,19,24.76936908,0.729494359,14.05158719,0.899644057
7,16,22.58352041,0.728650277,23.94362755,0.820906684
2,18,22.60163385,0.723217637,23.18518055,0.769227862
7,17,22.94670554,0.722061691,23.85434032,0.822239893
10,10,22.64301133,0.711456813,31.41009564,0.634363235
10,9,22.77519988,0.711232113,32.26253628,0.614247853
16,17,25.52482778,0.711121753,14.84899296,0.887930784
2,15,23.04239468,0.709572506,21.60066142,0.799692824
17,20,25.26938114,0.708610923,17.28875181,0.73795324
10,11,22.98646385,0.7081812,32.14333697,0.617093038
14,14,22.84515548,0.704983458,31.46224142,0.773688462
5,20,21.68917122,0.704920143,24.82928116,0.770544288
5,19,22.16019678,0.704074477,24.77103536,0.771619563
8,11,22.30819155,0.702014008,20.81659325,0.825395206
5,17,21.89379716,0.701913658,24.53161798,0.776012921
