iter	Passed	Remaining
0	2	2571
1	4	2406
2	7	2480
3	10	2503
4	12	2434
5	13	2273
6	15	2176
7	17	2108
8	18	2069
9	20	2002
10	21	1940
11	22	1878
12	24	1846
13	25	1797
14	26	1763
15	28	1766
16	30	1749
17	31	1713
18	33	1713
19	34	1711
20	36	1688
21	37	1664
22	42	1812
23	43	1788
24	45	1764
25	47	1766
26	48	1743
27	49	1730
28	50	1689
29	52	1694
30	53	1677
31	54	1658
32	56	1659
33	58	1659
34	59	1642
35	61	1635
36	63	1643
37	64	1632
38	66	1632
39	67	1624
40	69	1618
41	71	1629
42	72	1616
43	74	1612
44	75	1601
45	77	1605
46	78	1600
47	81	1613
48	83	1618
49	85	1615
50	86	1606
51	87	1602
52	89	1594
53	91	1596
54	92	1596
55	94	1599
56	96	1603
57	98	1599
58	99	1589
59	101	1592
60	102	1584
61	104	1580
62	106	1578
63	107	1570
64	109	1568
65	111	1572
66	112	1567
67	114	1562
68	115	1556
69	117	1555
70	118	1548
71	120	1553
72	122	1557
73	124	1553
74	125	1551
75	127	1554
76	129	1552
77	131	1550
78	132	1543
79	133	1538
80	135	1537
81	136	1531
82	138	1534
83	141	1538
84	142	1535
85	144	1530
86	145	1525
87	146	1521
88	148	1518
89	149	1514
90	151	1509
91	152	1505
92	154	1508
93	156	1504
94	157	1504
95	159	1498
96	160	1498
97	163	1500
98	165	1502
99	166	1497
100	168	1495
101	169	1491
102	170	1488
103	174	1499
104	175	1498
105	177	1498
106	179	1497
107	181	1495
108	183	1498
109	185	1504
110	188	1507
111	189	1503
112	191	1503
113	192	1497
114	194	1495
115	195	1491
116	198	1497
117	200	1499
118	202	1496
119	203	1492
120	205	1495
121	207	1491
122	209	1494
123	211	1496
124	213	1493
125	214	1489
126	215	1484
127	217	1481
128	219	1482
129	221	1481
130	222	1478
131	224	1475
132	225	1471
133	227	1470
134	228	1467
135	230	1464
136	232	1461
137	233	1456
138	234	1451
139	236	1450
140	238	1452
141	239	1448
142	241	1445
143	243	1446
144	244	1443
145	246	1439
146	247	1436
147	249	1436
148	252	1440
149	253	1437
150	255	1436
151	257	1438
152	260	1441
153	262	1442
154	263	1438
155	265	1434
156	266	1432
157	268	1433
158	270	1432
159	272	1430
160	274	1428
161	276	1428
162	277	1424
163	278	1422
164	280	1417
165	281	1414
166	283	1411
167	284	1407
168	285	1405
169	287	1404
170	289	1401
171	290	1399
172	293	1402
173	294	1399
174	296	1398
175	297	1394
176	299	1392
177	301	1394
178	303	1393
179	305	1393
180	307	1389
181	308	1387
182	310	1388
183	312	1384
184	313	1380
185	314	1377
186	316	1377
187	318	1376
188	320	1376
189	322	1373
190	324	1373
191	326	1372
192	328	1372
193	330	1371
194	331	1369
195	334	1370
196	335	1367
197	337	1367
198	339	1364
199	340	1362
200	342	1360
201	344	1359
202	345	1356
203	347	1354
204	348	1351
205	350	1349
206	351	1346
207	353	1344
208	354	1342
209	356	1340
210	357	1337
211	358	1334
212	360	1330
213	361	1329
214	363	1325
215	364	1323
216	366	1323
217	368	1323
218	370	1322
219	372	1319
220	373	1317
221	375	1314
222	376	1311
223	378	1312
224	380	1310
225	383	1311
226	384	1309
227	386	1308
228	388	1308
229	390	1306
230	391	1303
231	393	1303
232	395	1300
233	396	1299
234	398	1298
235	400	1295
236	402	1295
237	404	1295
238	406	1295
239	408	1292
240	409	1290
241	411	1289
242	413	1288
243	415	1286
244	417	1285
245	418	1283
246	421	1283
247	422	1282
248	424	1279
249	425	1276
250	427	1274
251	428	1272
252	430	1270
253	432	1269
254	433	1267
255	435	1266
256	437	1265
257	439	1263
258	441	1264
259	443	1262
260	444	1258
261	445	1255
262	447	1252
263	449	1252
264	450	1249
