Dataset,n_features,CV_RMSE,CV_R2,Test_RMSE,Test_R2
1,20,33.02653554020619,0.6463733079945745,36.64209331058098,0.5512610240010729
1,19,33.0383413656898,0.6462062539632127,36.68932479053153,0.550103433705119
1,18,33.085616117108856,0.6445861385725447,36.78702538835647,0.5477041697123131
1,17,33.16430468507805,0.6415510354163756,36.92993246993566,0.5441832640034978
1,16,34.059695749352414,0.6204637780997219,37.02764964445194,0.5417678763324139
1,15,34.36126114874942,0.6137250153558819,37.803894393612836,0.5223538049690163
1,14,34.73307596819518,0.6065597643110231,38.38059947718544,0.5076694928744341
1,13,34.76634465383866,0.605340746654021,38.571589613250055,0.5027574159774544
1,12,36.50088815866376,0.5647375372316903,39.63732479961091,0.4749001300209835
1,11,38.10221243348125,0.5247462019938908,40.078112933310166,0.46315641322147494
1,10,38.235876460186134,0.5207556408941003,40.25597087289089,0.45838105075318036
1,9,39.162648507796426,0.49034269017487686,41.65810766870838,0.4199942271847985
1,8,39.4283392888585,0.48444141879712654,42.17890444669564,0.4054014711922539
1,7,40.86230271060757,0.4481097859228035,43.53566480425371,0.3665335751411368
1,6,41.00166402429639,0.4452067908106776,43.54885060421704,0.36614979662233504
1,5,45.00943770750916,0.3373470434236999,44.88893760234418,0.32653986378666866
2,20,34.210088681994314,0.6263876922803642,36.6825345439686,0.4286721191761299
2,19,34.21982649408718,0.6266284922250266,35.0594468085008,0.4781125345288886
2,18,34.64547077882676,0.6172409669253709,35.153227346239305,0.4753168061136994
2,17,34.60586617960167,0.6183921613065758,36.78284235384595,0.4255432730395904
2,16,34.8661250398807,0.6135700594852704,36.56629463122777,0.4322872391135584
2,15,35.34386809872461,0.6021588577414332,37.64059489622502,0.39843895492658177
2,14,37.34529261244109,0.5585064097533078,44.605311079075605,0.1552272568108033
2,13,37.47302606222703,0.5561154651511332,43.975050356770495,0.17893140964593046
2,12,37.50308596116527,0.5553491788280747,43.72870864481293,0.18810465291179101
2,11,37.669075237998776,0.5513860121739964,43.909933069132016,0.18136124991558245
2,10,37.90381752439173,0.545334893708324,44.74544542319167,0.14991095575112645
2,9,38.21630509595915,0.5384879917932583,44.120765117506224,0.17348104479310444
2,8,39.08270482401563,0.5190156065491646,44.12099117216016,0.17347257535996863
2,7,39.59712535281962,0.5079775549528541,42.997527553604534,0.2150288151315014
2,6,42.32215129987992,0.42912296917773657,42.54373058403681,0.2315105898130213
2,5,44.39755290035272,0.37763133746860356,45.330802071139914,0.12752386868213195
3,20,33.91359522479168,0.616890760710743,36.426148053107184,0.5486161652177811
3,19,33.91777459872419,0.617019231053707,36.37450916637783,0.5498950507543239
3,18,34.025704413197815,0.6154517569833269,36.703346135817085,0.5417200851291875
3,17,34.18693431392266,0.6116149813415822,36.754672399388305,0.5404374640760539
3,16,34.14499741355412,0.6122980937876602,36.99406119175844,0.5344315669930975
3,15,34.9656394549144,0.5913302121252764,38.52646521968059,0.4950622574412755
3,14,35.21029796454725,0.5849116707661034,39.093795958033205,0.48008159841343556
3,13,36.732608650224364,0.5483158622651951,40.147261843125314,0.45168343555196966
3,12,37.79925534326061,0.5202321043034894,40.23933040647481,0.44916567462314183
3,11,37.92687961913121,0.517452760888261,40.590809293000454,0.43950089231698297
3,10,38.10781530768569,0.5131462159869453,41.45987412396355,0.4152429542421707
3,9,39.03111072106893,0.48987603145747594,43.4205710229534,0.35862715854444316
3,8,39.17586968425343,0.4874954135254068,44.340363546838944,0.33116652076287756
3,7,39.32968835493349,0.4838832555317629,44.71587555499444,0.31979004659357946
3,6,39.70076412883769,0.47508165227659926,45.59080699916752,0.29291102733349406
3,5,42.36184929990428,0.3970372891212522,44.97083560448628,0.31201111883500965
4,20,34.510196477875425,0.6081327253930293,32.59165820003541,0.6434838700283818
4,19,34.48865380138899,0.6085751891959881,33.14079203896394,0.6313688455073648
4,18,34.44112775621473,0.6100682816963128,33.22868457713792,0.6294109628093258
4,17,34.96720787157825,0.5990907188888781,34.48398154504604,0.6008822180642595
4,16,35.276871548019116,0.5916558347545728,34.70724975329287,0.5956972723264515
4,15,36.0402189649378,0.5753815279348113,34.26565059636774,0.6059201459890161
4,14,37.01757842671207,0.553169962497845,35.5354891835767,0.576170808145834
4,13,37.068268409516755,0.5511436191031254,35.735991449157616,0.5713745634175911
4,12,37.45188578915827,0.5419535616466568,37.33477690186886,0.53216426646129
4,11,37.47854870693697,0.5379314926462554,37.07242865637606,0.5387160483014959
4,10,37.661758270511356,0.5333427215748312,37.357180964839834,0.5316026149942439
4,9,38.792988076630365,0.5066338590628964,37.413589437700814,0.5301870087582634
4,8,39.648728040611644,0.4837689095739547,37.89231793488345,0.5180870303434784
4,7,42.07220107281987,0.41970602019589637,39.96775334678646,0.46385070104163983
4,6,44.64549837852589,0.34498514704163125,42.21834631859591,0.40176928731584527
4,5,44.63912939371356,0.3451960419675716,42.218377140288204,0.4017684138335188
5,20,35.461654039199196,0.5687301019915839,31.111351463802777,0.6625727315937934
5,19,35.820511070341055,0.5594860246727353,31.694319254494992,0.6498087596671728
5,18,36.61240036855334,0.5424110358584378,31.70406221651315,0.6495934261657853
5,17,36.81612204925183,0.536340720204085,31.925699448830937,0.6446770462388285
5,16,37.28273164597114,0.5286095513229065,32.41499823827321,0.6337021018269159
5,15,37.243981233438575,0.5295337469251777,32.42529288167481,0.6334694005932653
5,14,37.65216818402653,0.5198998939480826,32.838554183706364,0.6240669765878144
5,13,37.74814053527494,0.5176048107826612,32.995930941218425,0.6204550704272831
5,12,37.97490998425546,0.5124333947056208,33.588930113818265,0.6066902038152382
5,11,38.57148090310762,0.4956053081935584,34.699160509164756,0.5802600004484721
5,10,38.6172265941225,0.5039258199502491,33.97740601597127,0.5975398713194212
5,9,38.89974112369627,0.49585575986857044,34.10651719191106,0.5944754333702382
5,8,39.568447711078,0.48308338611190227,34.16140547895785,0.5931691458210324
5,7,43.24130098392185,0.38296819372898405,35.87987206277548,0.5512089436042392
5,6,44.56689895945677,0.3402086634959368,41.046050881859735,0.4126659485548898
5,5,45.76667723679809,0.30309346887809097,42.43334956086987,0.37229288401675364
6,20,35.076438580152896,0.5636356138415659,40.72310103102788,0.5092455298293572
6,19,35.000443763135976,0.5659961219210979,40.79061067248088,0.5076170624959704
6,18,35.07441533869421,0.5633977073224762,40.623889193198224,0.5116338226019046
6,17,35.08597309657784,0.5613243577336082,40.773600128365096,0.50802764498641
6,16,35.378692952485814,0.5575404878904082,40.61383214918396,0.511875597197051
6,15,35.77547069549886,0.5482684557475983,40.631544679247135,0.5114497421110751
6,14,36.45320796723722,0.5260409936097135,43.355370528561544,0.44375209917805203
6,13,37.1223402129323,0.5060844292128955,44.90877589874272,0.40317773634718757
6,12,37.26170158417442,0.502637888620644,45.251752307077716,0.3940268475852764
6,11,37.452691006664466,0.49657673049014883,45.80512308003466,0.3791156837628403
6,10,37.65315501328448,0.4934988911355115,46.254152464777945,0.3668829113470403
6,9,37.94042725316065,0.4851020434645066,45.72791790893256,0.38120693813312045
6,8,38.30288907960669,0.4755582863717131,45.57564764055908,0.3853211384338042
6,7,41.520239529935346,0.38036585500341713,51.2559752332679,0.2225515842168455
6,6,43.07692950455693,0.3556688797760681,52.64839413466326,0.1797375352474846
6,5,46.40222201663178,0.25321823685367495,56.12069138493893,0.06797275867300256
7,20,35.37379192532726,0.5750784608323251,38.53100984330426,0.5638919701684908
7,19,35.90155733943064,0.5620699579830216,37.56253170059588,0.5855396283407424
7,18,36.9533705407478,0.5380404773012804,39.232580781345526,0.5478661156416447
7,17,37.196327503026836,0.5312579597519026,39.44730084536203,0.5429035115852581
