targets,copolymer-1,A2720313463-2,A2041434490-2,A2084364935-2,A951226070-2,G3692055567-2,G3276511768-2,A3431531268-1,A864662311-1,A3975295864-1,A4216335232-1,A3217380708-1,G994485099-1,G2976033787-1
590,1,0.3,0.3,0.3,7.4,0,0,0,0,2,0.6,4.6,2,0
616,1,0,0,0,4.12,0,2,0,0,2,0,2.06,2,0
607,1,0,0.5,0.5,5,0,0,0,0,2,1,4,2,0
608,1,0,0,0,4,0.6,2,0,0,2,0,2,1.4,0
603,1,0,0.3,0.3,4.6,0,2,0,0,2,0.6,3.2,2,0
608,1,0,0.3,0.3,4.6,0,0,0,0,2,0.6,3.2,2,0
610,1,0,0,0,4,0.1,2,0,0,2,0,2,1.9,0
610,1,0,0,0,4,0.4,2,0,0,2,0,2,1.6,0
616,1,0,0,0,4.04,0,2,0,0,2,0,2.02,2,0
613,1,0,0,0,4,0.2,2,0,0,2,0,2,1.8,0
609,1,0,0.7,0.7,5.4,0,0,0,0,2,1.4,4.8,2,0
608,1,0.3,0.3,0.3,4.6,0,0,0,0,2,0.6,3.2,2,0
604,0,0,1,1,6,0,2,0,0,2,2,6,2,0
602,1,0,0.5,0.5,5,0,2,0,0,2,1,4,2,0
610,1,0,0,0,4,0.5,2,0,0,2,0,2,1.5,0
610,0,0,0,0,4,0,2,0,0,2,0,2,2,0
592,1,0,0.5,1.5,4,0,2,0,0,2,1,4,2,0
591,1,0,1,1,6,0.7,1.4,0,0,2,2,6,1.3,0
608,1,0,0,0,6.8,0,0,0,0,2,0,3.4,2,0
604,1,0,0.7,0.7,6.6,0,0,0,0,2,1.4,5.4,2,0
610,1,0,0,0,4,0.3,2,0,0,2,0,2,1.7,0
589,1,0,0.3,1.7,3.2,0,2,0,0,2,0.6,3.2,2,0
608,1,0,0,1,3,0,2,0,0,2,0,2,2,0
592,1,0.7,0.7,0.7,6.6,0,0,0,0,2,1.4,5.4,2,0
597,1,0,0.7,1.3,4.8,0,2,0,0,2,1.4,4.8,2,0
604,0,0,1,1,6,0,2,0,0,2,2,6,2,0
610,1,0,0,0,4,0.07,2,0,0,2,0,2,1.93,0
589,0,0,0,0,8,0,0,0,0,2,0,4,2,0
589,1,0,0.3,0.3,7.4,0,0,0,0,2,0.6,4.6,2,0
602,1,0,0.7,0.7,5.4,0,2,0,0,2,1.4,4.8,2,0
608,1,0,0,1.4,2.6,0,2,0,0,2,0,2,2,0
605,1,0.5,0.5,0.5,5,0,0,0,0,2,1,4,2,0
603,1,0.7,0.7,0.7,5.4,0,0,0,0,2,1.4,4.8,2,0
612,1,0,0,0,4,0.15,2,0,0,2,0,2,1.85,0
585,0,1,1,1,6,0,2,0,0,2,2,6,2,0
595,1,0,0.5,0.5,7,0,0,0,0,2,1,5,2,0
590,1,0.5,0.5,0.5,7,0,0,0,0,2,1,5,2,0
