iter	Passed	Remaining
0	0	20
1	0	16
2	0	13
3	0	13
4	0	13
5	0	13
6	1	13
7	1	13
8	1	13
9	1	12
10	1	12
11	1	11
12	1	11
13	1	11
14	2	11
15	2	11
16	2	10
17	2	10
18	2	10
19	2	10
20	2	10
21	2	10
22	3	10
23	3	10
24	3	9
25	3	9
26	3	9
27	3	9
28	3	9
29	4	9
30	4	9
31	4	9
32	4	9
33	5	9
34	5	9
35	5	9
36	5	9
37	5	9
38	5	9
39	6	9
40	6	8
41	6	8
42	6	8
43	6	8
44	6	8
45	7	8
46	7	8
47	7	8
48	7	7
49	7	7
50	7	7
51	8	7
52	8	7
53	8	7
54	8	7
55	8	6
56	8	6
57	9	7
58	9	6
59	10	6
60	10	6
61	10	6
62	10	6
63	10	6
64	10	5
65	11	5
66	11	5
67	11	5
68	11	5
69	11	5
70	12	4
71	12	4
72	12	4
73	12	4
74	12	4
75	12	4
76	13	3
77	13	3
78	13	3
79	13	3
80	13	3
81	14	3
82	14	2
83	14	2
84	14	2
85	15	2
86	15	2
87	15	2
88	15	1
89	16	1
90	16	1
91	16	1
92	16	1
93	17	1
94	17	0
95	17	0
96	17	0
97	17	0
98	18	0
99	18	0
