targets,copolymer,A2720313463,A1637023899,A3918336191,A668520641,A2041434490,A1295649264,A2084364935,A951226070,G3692055567,G3276511768
590,1,0.3,0.0,0.0,1.4,0.3,0.0,0.3,7.4,0.0,0.0
616,1,0.0,0.0,0.03,0.0,0.0,0.0,0.0,4.12,0.0,2.0
607,1,0.0,0.5,0.0,0.0,0.5,0.0,0.5,5.0,0.0,0.0
608,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6,2.0
603,1,0.0,0.3,0.0,0.0,0.3,0.0,0.3,4.6,0.0,2.0
608,1,0.0,0.3,0.0,0.0,0.3,0.0,0.3,4.6,0.0,0.0
610,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1,2.0
610,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,2.0
616,1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,4.04,0.0,2.0
613,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,2.0
609,1,0.0,0.7,0.0,0.0,0.7,0.0,0.7,5.4,0.0,0.0
608,1,0.3,0.0,0.0,0.0,0.3,0.0,0.3,4.6,0.0,0.0
604,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0
602,1,0.0,0.5,0.0,0.0,0.5,0.0,0.5,5.0,0.0,2.0
610,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,2.0
610,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
592,1,0.0,0.5,0.0,0.0,0.5,1.0,1.5,4.0,0.0,2.0
591,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.7,1.4
608,1,0.0,0.0,0.0,1.4,0.0,0.0,0.0,6.8,0.0,0.0
604,1,0.0,0.7,0.0,0.6,0.7,0.0,0.7,6.6,0.0,0.0
610,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,2.0
589,1,0.0,0.3,0.0,0.0,0.3,1.4,1.7,3.2,0.0,2.0
608,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0
592,1,0.7,0.0,0.0,0.6,0.7,0.0,0.7,6.6,0.0,0.0
597,1,0.0,0.7,0.0,0.0,0.7,0.6,1.3,4.8,0.0,2.0
604,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0
610,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.07,2.0
589,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0
589,1,0.0,0.3,0.0,1.4,0.3,0.0,0.3,7.4,0.0,0.0
602,1,0.0,0.7,0.0,0.0,0.7,0.0,0.7,5.4,0.0,2.0
608,1,0.0,0.0,0.0,0.0,0.0,1.4,1.4,2.6,0.0,2.0
605,1,0.5,0.0,0.0,0.0,0.5,0.0,0.5,5.0,0.0,0.0
603,1,0.7,0.0,0.0,0.0,0.7,0.0,0.7,5.4,0.0,0.0
612,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.15,2.0
585,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0
595,1,0.0,0.5,0.0,1.0,0.5,0.0,0.5,7.0,0.0,0.0
590,1,0.5,0.0,0.0,1.0,0.5,0.0,0.5,7.0,0.0,0.0
